LocationAbbrev,Location,LithotypeAbbrev,GenericLithotype,Lithotype,Sample,Ophiolite,CH4,Al2O3,Au,Ba,CaO,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe2O3,Ga,Gd,Ge,Hf,Ho,Ir,K2O,La,LOI,Lu,MgO,MnO,Na2O,Nb,Nd,Ni,Os,P2O5,Pd,Pr,Pt,Rb,Rh,Ru,S,Sb,Sc,SiO2,Sm,Sr,Ta,Tb,Th,TiO2,Tm,U,V,W,Y,Yb,Zn,Zr,Total
SI,Sithonia,Oph Bst,Bst,Ophiolitic Basalt,SI4,Chalkidiki,24,14.3,2,177,8.95,11.7,40,1170,1,62,2.65,1.54,0.67,6.1,12,2.37,0.7,1.5,0.54,0.1,0.95,5.26,11.04,0.24,7.17,0.1,4.39,1.4,6.82,200,1,0.1,1,1.55,2.5,29,0.2,5,0.01,1.6,28,45.85,2.03,120,0.2,0.41,2.1,0.69,0.23,0.95,185,2.9,14.3,1.52,46,46,99.64
ARCB,Archani,Rdg Gbr,Rdg Gbr,Rodingitised gabbro,ARCB4,Othrys,2670,18.49,0.5,9,11.14,2.12,29,1070,0.05,5,0.95,0.54,0.27,3.84,9,0.8,0.8,0.3,0.19,0.2,0.19,1.02,6.45,0.07,8.69,0.07,3.55,1.6,1.5,151,1,0.05,1,0.29,2.5,2,0.2,5,0.01,0.6,26,47.32,0.49,325,0.21,0.15,0.13,0.24,0.08,0.03,86,2,5.2,0.51,22,11,100
MSK,Moschokarya,Rdg Gbr,Rdg Gbr,Rodingitised gabbro,MSKB2,Othrys,2700,15.65,12.5,176,20.1,1.91,39,320,1.9,76,0.7,0.45,0.23,9.94,10,0.52,1.3,0.2,0.14,8.3,0.08,1.05,4.32,0.08,7.99,0.15,0.41,1.2,0.98,79,1,0.03,12,0.23,5,2,3.3,38,0.04,0.6,54,41.01,0.34,706,0.19,0.1,0.17,0.39,0.07,0.04,533,1.8,3.8,0.52,40,6,100.1
VR,Vrynaina,Rdg Gbr,Rdg Gbr,Rodingitised gabbro,VR3,Othrys,181,1.64,2,16,30.33,13.6,4,610,0.1,5,1.29,0.61,0.64,29.47,12,1.67,11,0.1,0.23,0.2,0.03,7.73,1.09,0.06,0.42,0.12,0.03,0.3,6.85,13,1,0.02,1,1.69,2.5,0.5,0.2,5,0.0005,0.7,2,37.53,1.59,6,0.13,0.24,0.5,0.05,0.09,0.29,36,13.1,7.8,0.45,19,5,100.7
VR,Vrynaina,Rdg Gbr,Rdg Gbr,Rodingitised gabbro,VR5,Othrys,181,11.5,2,6,7.53,2.75,44,1200,0.1,1,1.31,0.89,0.14,8.6,8,0.92,1.1,0.4,0.29,0.2,0.04,1.34,7.46,0.15,22.13,0.19,0.29,0.7,1.51,417,1,0.03,1,0.36,2.5,0.5,0.2,5,0.0005,0.7,39,42.32,0.54,7,0.15,0.19,0.27,0.23,0.14,0.17,204,2.2,7.8,0.97,29,12,100.3
VR,Vrynaina,Rdg Gbr,Rdg Gbr,Rodingitised gabbro,VR7,Othrys,181,13.57,2,12.5,11.14,2.44,34,840,0.1,5,1.12,0.57,0.24,9.27,9.5,0.86,1.2,0.25,0.21,0.1,0.06,1.2,4.32,0.08,8.34,0.14,0.35,0.95,1.51,115,1,0.03,1,0.33,2.5,1.25,0.2,5,0.0005,0.65,32.5,41.01,0.52,6.5,0.17,0.17,0.22,0.24,0.08,0.11,145,2.1,6.5,0.52,25.5,8.5,100.1
SK,Skoumtsa,Schl Chr,Chr,Schlieren Chromitite,SK1,Vourinos,543,2.17,6.7,3,0.07,0.27,146.84,113300,0.05,2,0.07,0.07,0.03,7.91,6.75,0.06,0.9,0.05,0.02,3.9,0.01,0.21,15.06,0.01,35.09,0.12,0.01,0.1,0.14,2400,1,0.01,1,0.04,2.5,2.25,1.7,115,0.01,0.95,6,27.74,0.04,2,0.28,0.01,0.03,0.04,0.01,0.03,152,4.05,0.43,0.1,84,3.5,99.87
SK,Skoumtsa,Schl Chr,Chr,Schlieren Chromitite,SK2,Vourinos,1379,4.59,18.3,3,0.03,0.27,146.84,231000,0.05,2,0.07,0.07,0.03,9.61,6.75,0.06,0.9,0.05,0.02,28,0.01,0.21,11.44,0.01,30.66,0.12,0.01,0.1,0.14,1770,1,0.01,2,0.04,5,2.25,5.3,150,0.01,0.95,6,20.87,0.04,2,0.28,0.01,0.03,0.07,0.01,0.03,152,4.05,0.43,0.1,150,3.5,100.8
SK,Skoumtsa,Schl Chr,Chr,Schlieren Chromitite,SK3,Vourinos,1740,6.7,2,3,0.25,0.36,146,113300,0.05,1,0.1,0.08,0.05,11.45,13,0.07,1,0.05,0.02,15.95,0.01,0.3,7.52,0.02,24.06,0.12,0.1,0.1,0.2,1690,1,0.01,1.5,0.06,2.5,4,3.5,132.5,0.01,1.2,5,15.87,0.07,2,0.43,0.01,0.03,0.11,0.02,0.03,273,6.6,0.6,0.15,154,3,66.16
SK,Skoumtsa,Schl Chr,Chr,Schlieren Chromitite,SK6,Vourinos,1379,0.68,2,3,0.44,0.18,119,8060,0.05,3,0.04,0.05,0.01,8.35,0.5,0.04,0.8,0.05,0.01,15.95,0.01,0.12,7.63,0.01,38.65,0.11,0.05,0.1,0.07,2470,1,0.01,1.5,0.02,2.5,0.5,3.5,132.5,0.0005,0.7,7,41.3,0.01,2,0.12,0.01,0.03,0.01,0.01,0.03,31,1.5,0.25,0.05,56,4,97.24
